id,num,string,=+,*,(,),and,or,=,!=,<,<=,>,>=,create,table,;,int,",",varchar,char,drop,insert,into,values,update,set,where,select,from,$,S',S,ID,NUM,STRING,NUM_OPERATOR,NUM_OPERATOR_E,NUM_OPERATOR_T,NUM_OPERATOR_F,LOGIC_OPERATOR,LOGIC_OPERATOR_E,LOGIC_OPERATOR_T,LOGIC_OPERATOR_F,CREATE,FIELDS,DROP,INSERT,VALUES,UPDATE,SETS,WHERE,SELECTOR
,,,,,,,,,,,,,,,s7,,,,,,,s8,s9,,,s10,,,s6,,r1,,1,,,,,,,,,,,,2,,3,4,,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,
s14,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,s20,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,,
,,,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,,,r2,,r2,,,,,,r2,,r2,r2,,r2,r2,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,s24,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
s14,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,26
,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,30,,
,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s35,,s36,s37,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,
,,,,,,,,,,,,,,,s7,,,,,,,s8,s9,,,s10,,,s6,,r1,,38,,,,,,,,,,,,2,,3,4,,5,,,
,,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,40,
,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,43,44,45,46,,,,,,,,,
